MHandle     MName                                                         MTypeHnd    MTypeName
0x12e9be    0055-EC-Gwy-01.lmig.com_Gen Bridge App                        0x4a0000    Gen_Bridge_App  
0x12e8c8    INET_INTERNAP.lmig.com_Gen Bridge App                         0x4a0000    Gen_Bridge_App  
0x12e882    0055-INET-ATT.lmig.com_Gen Bridge App                         0x4a0000    Gen_Bridge_App  
0x12e6d3    0055-finjan-mgmt-a.lmig.com_Gen Bridge App                    0x4a0000    Gen_Bridge_App  
0x12e6a2    0055-Choke-rtr1_Gen Bridge App                                0x4a0000    Gen_Bridge_App  
0x12e685    ec-choke-b.lmig.com_Gen Bridge App                            0x4a0000    Gen_Bridge_App  
0x12e372    ec-prod1-sw1.lmig.com_Gen Bridge App                          0x4a0000    Gen_Bridge_App  
0x12e35b    ec-test2-sw1.lmig.com_Gen Bridge App                          0x4a0000    Gen_Bridge_App  
0x12e2d5    ec-test1.lmig.com_Gen Bridge App                              0x4a0000    Gen_Bridge_App  
0x12e2a4    ec-test2_Gen Bridge App                                       0x4a0000    Gen_Bridge_App  
0x12e280    EC-PROD1.lmig.com_Gen Bridge App                              0x4a0000    Gen_Bridge_App  
0x12e25c    EC-PROD2.lmig.com_Gen Bridge App                              0x4a0000    Gen_Bridge_App  
0x12e23d    0055-ec-test-int-bigip.libertyec.com_Gen Bridge App           0x4a0000    Gen_Bridge_App  
0x12e233    0055-ec-test-int-bigip1.libertyec.com_Gen Bridge App          0x4a0000    Gen_Bridge_App  
0x112827    dsc-sso-sw-02.lmig.com_Gen Bridge App                         0x4a0000    Gen_Bridge_App  
0x1126bd    0260-4507-sw1.lmig.com_Gen Bridge App                         0x4a0000    Gen_Bridge_App  
0x112655    0260-newyork-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x11252c    085a-idc-rtr1.lmig.com_Gen Bridge App                         0x4a0000    Gen_Bridge_App  
0x111ef9    0055-distn-h.lmig.com_Gen Bridge App                          0x4a0000    Gen_Bridge_App  
0x1119ec    0055-4506-lab-03.lmig.com_Gen Bridge App                      0x4a0000    Gen_Bridge_App  
0x1119d0    0055-4506-lab-04.lmig.com_Gen Bridge App                      0x4a0000    Gen_Bridge_App  
0x1119ba    0055-4506-lab-05.lmig.com_Gen Bridge App                      0x4a0000    Gen_Bridge_App  
0x11187a    0055-4506-lab-06.lmig.com_Gen Bridge App                      0x4a0000    Gen_Bridge_App  
0x11185c    0055-lab-6513-rtr-01.lmig.com_Gen Bridge App                  0x4a0000    Gen_Bridge_App  
0x111816    ts-lab-cage01.lmig.com_Gen Bridge App                         0x4a0000    Gen_Bridge_App  
0x1117e6    juniper_isg2000.lmig.com_Gen Bridge App                       0x4a0000    Gen_Bridge_App  
0x1117d6    0055-2511-lab.lmig.com_Gen Bridge App                         0x4a0000    Gen_Bridge_App  
0x111762    0055-4506-lab-01.lmig.com_Gen Bridge App                      0x4a0000    Gen_Bridge_App  
0x111741    0055-4506-lab-02.lmig.com_Gen Bridge App                      0x4a0000    Gen_Bridge_App  
0x1108ce    0218-newyork-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x11089c    0083-bozeman-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x1107dd    014a-syracuse-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x110779    0582-columbia-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x110746    0679-beaverton-mpls-rtr1.lmig.com_Gen Bridge App              0x4a0000    Gen_Bridge_App  
0x110675    0828-albany-mpls-rtr1.lmig.com_Gen Bridge App                 0x4a0000    Gen_Bridge_App  
0x10e1bd    172.31.30.2_Gen Bridge App                                    0x4a0000    Gen_Bridge_App  
0x10d1e9    172.16.118.17_Gen Bridge App                                  0x4a0000    Gen_Bridge_App  
